Tool Name,Story,Works with,No.of actions,Author
GitHub,Use the AI Agent Action to review GitHub pull requests,GitHub,6,Conor O'Donnell
GitHub,Backup Tines Stories to GitHub,GitHub,22,null
GitHub,Onboard employees & grant specialized access to specific tools,"GitHub, Google, Zoom",21,null
GitHub,"Disable accounts in Google Workspace, GitHub, and Okta","GitHub, Google, Jira Software, Okta",23,Aaron Sandow
GitHub,Create GitHub Issues from Elastic SIEM alerts,"Elastic, GitHub",6,null
GitHub,Pull a Python Script from Github to execute in Tines,GitHub,6,null
GitHub,Manage GitHub pull requests via Slack,"GitHub, Slack",14,Conor Dunne
GitHub,Create issues in GitHub and Jira from findings in Semgrep,"GitHub, Jira Software, Semgrep",20,Conor Dunne
GitHub,Import Story backups from GitHub to Tines,GitHub,43,null
GitHub,Handle GitHub notifications and notify Slack,"GitHub, Slack",17,null
GitHub,Analyze GitHub pull requests for vulnerabilities with ChatGPT,"GitHub, OpenAI",5,null
GitHub,Create and escalate Jira issues for GitHub Advanced Security findings,"GitHub, Jira Software, Slack",6,Conor Dunne
GitHub,Retrieve vulnerabilities from SonarCloud and suggest code fixes in GitHub,"GitHub, OpenAI, SonarCloud",13,Conor Dunne
GitHub,Run a simulated phishing attack,"BambooHR, GitHub, Tines",22,Conor Dunne
GitHub,Create GitHub issues from Sumo Logic alerts,"GitHub, Sumo Logic",10,null
GitHub,Onboard employees with flexible forms,"GitHub, Google, Zoom",14,null
GitHub,Create Terraform Infrastructure as Code,"GitHub, HashiCorp, HashiCorp Terraform, ServiceNow, Slack",16,null
GitHub,"Handle malware alerts with CrowdStrike, Oomnitza, GitHub, and PagerDuty","CrowdStrike, GitHub, PagerDuty, Slack",25,Lucas Cantor
GitHub,Add open spec files from Traceable to a GitHub repository,"GitHub, Traceable.ai",15,null
GitHub,Request and approve access to new tools with an audit trail,"AWS, GitHub, Jira Software, Okta, Slack",31,Michael Tolan
GitHub,Track issues across GitHub and Zendesk,"GitHub, Zendesk",28,null
GitHub,Retrieve the code owners of a file in GitHub,GitHub,31,Conor Dunne
GitHub,Record container vulnerabilities from AWS Inspector in GitHub,"AWS, GitHub",8,Liam Malone
GitHub,Change GitHub repository from public to private,GitHub,15,null
GitHub,Generate a SBOM in Veracode,"GitHub, GitLab",9,null
GitHub,Get NPM package files from GitHub and check for vulnerabilities,"GitHub, NPM, Shortcut",42,Conor Dunne
GitHub,Generate an SBOM with AWS Inspector and add to GitHub,"AWS, GitHub",11,Liam Malone
GitHub,Validate GitHub webhook deliveries,GitHub,5,null
GitHub,Monitor and backup Fleet policies in GitHub,"Fleet, GitHub, Slack",27,Conor Dunne
GitHub,Backup Power BI reports to GitHub,"GitHub, Power BI",24,Michael Tolan
GitHub,Sync Github file with a Tines Resource,"GitHub, Tines",13,Nick Page
GitHub,Enable secret scanning and push protection on newly public GitHub repositories,"Elastic, GitHub",4,Christopher Cutajar
GitHub,Host your Teams contact details using Records and Pages,GitHub,11,Sif Baksh
GitHub,Onboard GitHub projects to SonarCloud and Airtable,"Airtable, GitHub, SonarCloud",36,Tyler Talaga
GitHub,Sync IriusRisk projects with GitHub Terraform repositories,"GitHub, IriusRisk, Slack",21,Conor Dunne
Elastic,Process and search documents in Elasticsearch with an agent,"Elastic, Tavily",30,Michael Tolan
Elastic,Triage Elastic Security alerts and block malicious IPs,"Elastic, Google, GreyNoise",17,null
Elastic,Normalize alerts from multiple sources using ChatGPT,"CrowdStrike, Elastic, Lacework, OpenAI",16,null
Elastic,Search Elastic data sets and display results,Elastic,5,null
Elastic,Create GitHub Issues from Elastic SIEM alerts,"Elastic, GitHub",6,null
Elastic,Isolate a host protected by Elastic Endpoint,Elastic,11,Conor Dunne
Elastic,"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","Elastic, Google, GreyNoise, Slack, Tines",10,Michael Tolan
Elastic,Query Elasticsearch and page through results,Elastic,15,null
Elastic,Investigate and enrich suspicious Office 365 login Elastic alerts,"Elastic, Microsoft",20,null
Elastic,Identify false positive alerts from Elastic using a database in Notion,"Elastic, Notion",11,Michael Tolan
Elastic,Elastic SIEM to Slack alert enrichment,"Elastic, Slack, Tines",106,Aaron Jewitt
Elastic,Create Tines Cases from Elastic Common Schema,Elastic,21,Conor Dunne
Elastic,Move security logs from Google Workspace to Elastic Security,"Elastic, Google",4,null
Elastic,Detect and remediate high AWS EC2 CPU usage with Elastic Observability and document with Tines cases,"AWS, Elastic, Tines",27,null
Elastic,Detect and alert performance issues in devices using Elastic and Slack,"Elastic, Slack",4,Tines
Elastic,Using Records to improve story performance in Tines,Elastic,51,null
Elastic,Search Elastic alerts,Elastic,17,Michael Tolan
Elastic,Download PCAP from Endace Probe triggered by intrusion detection,"Elastic, Endace",26,Roberto Cordeiro
Elastic,Build and search MITRE ATT&CK semantic index in Elastic,"Elastic, MITRE",18,Michael Tolan
Elastic,Monitor Invary appraisals and isolate threats with Elastic Fleet,"Elastic, Invary",11,null
Elastic,Download files from Elastic Agent host via a Tines Page,Elastic,14,null
Elastic,Send Google Workspace security logs to ELK,"Elastic, Google",6,null
Elastic,Identify and remediate high AWS EC2 Disk Usage with Elastic Observability and document with Tines cases,"AWS, Elastic, Tines",9,null
Elastic,Replay Data with Cribl into Elastic Security and Isolate Hosts Using Elastic Agent,"Cribl, Elastic",20,null
Elastic,Create issues using the Elastic Common Schema,"Elastic, OpenAI",11,null
Elastic,Check Workday for unauthorized travel and alert in Slack,"Elastic, Jumpcloud, OpsGenie, Slack, Workday",34,Muhammet Tekbicak
Elastic,Retrieve logs from the Wazuh Indexer,"Elastic, Wazuh",8,Conor Dunne
Elastic,Upload and execute a script on an Elastic Fleet endpoint,Elastic,15,Conor Dunne
Elastic,Investigate security alerts in Workbench from Slack links,"Elastic, GreyNoise, Slack",3,Michael Tolan
Elastic,Delete Buildkite job logs,"BuildKite, Elastic",19,Christopher Cutajar
Elastic,Create an API to query Tines template vendors and actions,Elastic,8,John Tuckner
Elastic,Enable secret scanning and push protection on newly public GitHub repositories,"Elastic, GitHub",4,Christopher Cutajar
Drata,Add CrowdStrike Spotlight vulnerability evidence to Drata,"CrowdStrike, Drata",16,null
Drata,Add alert evidence from Armis to Drata controls,"Armis, Drata",8,null
Drata,Add completed security training evidence to Drata,Drata,7,null
Drata,Gather & add correlated searches in Splunk Enterprise Security to Drata,"Drata, Splunk",14,null
Drata,Upload compliance evidence to Drata,Drata,14,null
Drata,Track & add background check evidence to ensure regulatory compliance in Drata,Drata,7,null
Drata,Add host vulnerabilities in Lacework to Drata controls,"Drata, Lacework",8,null
Drata,Get failing test resources in Drata,Drata,7,null
Drata,Upload & track asset management information from Tenable in Drata,"Drata, Tenable Vulnerability Management",8,null
Drata,Extract SentinelOne alert evidence & upload to Drata controls,"Drata, SentinelOne",8,null
Drata,Add Malwarebytes policy evidence to Drata controls,"Drata, Malwarebytes",6,null
Drata,Scheduled rotation & tracking for AWS Access Keys in Drata,"AWS, Drata, Jira Software",29,null
Drata,Push incidents from Jira to Drata,"Drata, Jira Software",4,null
Drata,"Gather & enrich evidence between Analyst1, Sublime Security, and Drata","Analyst1, Drata, Sublime Security",48,null
Drata,Pull & add IOCs from Malware Traffic Analysis to Drata controls,"Drata, Malware Traffic Analysis",13,null
Drata,Add HIPAA training evidence to Drata,Drata,7,null
Drata,Add evidence of device updates to Drata,Drata,9,null
Drata,Run asset vulnerability scans & add evidence to compliance system,"Drata, Orca Security",24,null
Drata,Add anti-virus evidence in Drata,Drata,9,null
Drata,Add hard drive encryption evidence to Drata,Drata,8,null
Drata,Add password manager evidence to Drata,Drata,8,null
Drata,Fetch vulnerabilities in SecurityScorecard and add to Drata,"Drata, Security Scorecard",23,null
Drata,Find & remediate public AWS S3 buckets with Veza and add evidence to Drata controls,"AWS, Drata, Jira Software, Veza",20,null
Drata,Add screensaver lock evidence to Drata,Drata,9,null
Drata,Add IdP MFA evidence to Drata,Drata,7,null
Drata,Get compliance status for a user in Drata,Drata,3,null
Microsoft Teams,Troubleshoot broken Tines actions using an AI Agent chatbot,"Microsoft Teams, Slack, Tavily, Tines",14,Michael Tolan
Microsoft Teams,Microsoft Teams Vulnerability Scanner and Responder,"Microsoft Teams, Tenable Vulnerability Management",30,Michael Snow
Microsoft Teams,Check for new CISA vulnerabilities,"Microsoft Teams, Tenable Vulnerability Management",6,null
Microsoft Teams,Add a new user in Microsoft Entra ID,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",6,Michael Tolan
Microsoft Teams,Analyze Crowdstrike detections and report in Jira and Microsoft Teams,"CrowdStrike, Jira Software, Microsoft, Microsoft Teams",12,null
Microsoft Teams,Send a message to user in Microsoft Teams,"Microsoft, Microsoft Teams",17,null
Microsoft Teams,Manage alerts from Microsoft Defender Cloud,"Microsoft, Microsoft Teams",39,null
Microsoft Teams,Analyze domains via slash command in Microsoft Teams,"Microsoft Teams, VirusTotal",10,null
Microsoft Teams,Take action on Azure Sentinel alerts depending on severity level,"Jira Software, Microsoft, Microsoft Azure, Microsoft Teams",30,Shaun Finn
Microsoft Teams,Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"BambooHR, Google, Microsoft, Microsoft Teams, Okta",11,null
Microsoft Teams,Send Tines case notifications to subscribers in Slack or Teams,"Microsoft Teams, Slack, Tines",26,Michael Tolan
Microsoft Teams,Search and Update Splunk Notable with VirusTotal Enrichment with case management and Microsoft Teams notification,"Microsoft Teams, Splunk, VirusTotal",18,null
Microsoft Teams,Analyze files with VMRay,"Microsoft, Microsoft Teams, Slack, VMRay",31,null
Microsoft Teams,Communicate across channels in Microsoft Teams and Slack,"Microsoft, Microsoft Teams, Slack",15,Michael Tolan
Microsoft Teams,Investigate and remediate multiple denied MFA push requests in Okta,"IPQualityScore, Microsoft Teams, Okta, Tines, VirusTotal",31,Claudia Kinsella
Microsoft Teams,Track Okta Active Directory agents using Records and Microsoft Teams,"Microsoft Teams, Okta, Tines",11,Taylor Rainwater
Microsoft Teams,"Ingest, enrich, and remediate ExtraHop alerts and block suspicious URLs with Zscaler","AbuseIPDB, Extrahop, Microsoft Teams, URLScan.io, VirusTotal, Zscaler",15,null
Microsoft Teams,Manage Sharepoint sites,"Jira Software, Microsoft, Microsoft Teams",20,Shaun Finn
Microsoft Teams,Notify Microsoft Teams when issues in Jira have not been triaged,"Jira Software, Microsoft Teams",11,Michael Tolan
Microsoft Teams,Review tasks in ConductorOne for inactive approvers and alert in Microsoft Teams,"ConductorOne, Microsoft Teams",10,Michael Tolan
Microsoft Teams,Coach users to use AI safely with Harmonic Security and Teams,"Harmonic Security, Microsoft Teams",8,null
Microsoft Teams,Manage Microsoft Teams chat membership,"Microsoft, Microsoft Teams",18,Nathan Collings
Microsoft Teams,Search for AppStore apps with no approvers in Lumos and alert in Microsoft Teams,"Lumos, Microsoft Teams",6,Michael Tolan
URLScan.io,"Analyze phishing email senders, URLs, & attachments","EmailRep, Sublime Security, URLScan.io, VirusTotal",51,null
URLScan.io,Analyze and triage suspicious emails with various tools,"CrowdStrike, EmailRep, Jira Software, NextDNS, URLScan.io, VirusTotal",59,Michael Tolan
URLScan.io,Analyze domains through multiple sources,"URLScan.io, VirusTotal",16,null
URLScan.io,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
URLScan.io,Investigate Phishing emails with Proofpoint CLEAR and Tines,"Proofpoint, URLScan.io, VirusTotal",86,John Vasanth
URLScan.io,Analyze URLs in URLScan,URLScan.io,12,null
URLScan.io,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
URLScan.io,"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
URLScan.io,Analyze IPs & search for indicators of compromise,"Criminal IP, Jira Software, URLScan.io",29,null
URLScan.io,Check if new AWS GuardDuty findings are malicious,"Amazon GuardDuty, AWS, Jira Software, URLScan.io",27,null
URLScan.io,Analyze and triage suspicious emails across tools and Tines cases,"CrowdStrike, EmailRep, Tines, URLScan.io, VirusTotal",65,Michael Tolan
URLScan.io,Submit URL for analysis via Slackbot and return screenshot of results,"Slack, URLScan.io, VirusTotal",9,null
URLScan.io,Request URLs to be added to Zscaler Allowlist,"URLScan.io, Zscaler",13,null
URLScan.io,Analyze a URL with URLScan,URLScan.io,17,Michael Tolan
URLScan.io,Retrieve Proofpoint events and log issues in Jira,"EmailRep, Jira Software, Proofpoint, URLScan.io, VirusTotal",11,Michael Tolan
URLScan.io,Analyze SMS phishing with the AI action,"MISP, Slack, URLScan.io, VirusTotal",33,Michael Fischler
URLScan.io,Read unread emails & analyze any URLs mentioned,"Microsoft, ServiceNow, URLScan.io",22,Shaun Finn
URLScan.io,Monitor domains using URLScan,URLScan.io,24,null
URLScan.io,Create expressive pages in Tines,URLScan.io,11,null
URLScan.io,Enrich clicked URLs from Proofpoint and block with Zscaler,"AbuseIPDB, Jira Software, Proofpoint, URLScan.io, Zscaler",13,Michael Tolan
URLScan.io,"Investigate a URL with URLScan, create a ticket in Jira and take action","AbuseIPDB, CrowdStrike, Jira Software, NextDNS, Phish Report, URLScan.io",41,null
URLScan.io,"Ingest, enrich, and remediate ExtraHop alerts and block suspicious URLs with Zscaler","AbuseIPDB, Extrahop, Microsoft Teams, URLScan.io, VirusTotal, Zscaler",15,null
URLScan.io,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","Jira Software, Microsoft, OpsGenie, Qualys, Slack, URLScan.io, VirusTotal",16,null
GreyNoise,Analyze an IP in many services at once,"AbuseIPDB, APIVoid, GreyNoise, Jira Software, Pulsedive, VirusTotal",13,Michael Tolan
GreyNoise,Triage Elastic Security alerts and block malicious IPs,"Elastic, Google, GreyNoise",17,null
GreyNoise,"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
GreyNoise,Create an IP enrichment API,"GreyNoise, Pulsedive, VirusTotal",6,null
GreyNoise,Analyze vulnerabilities from Tenable workbench,"GreyNoise, Jira Software, Slack, Tenable Vulnerability Management",25,null
GreyNoise,"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","Elastic, Google, GreyNoise, Slack, Tines",10,Michael Tolan
GreyNoise,Crowdsource suspicious logins and suspend accounts,"GreyNoise, Jira Software, OneLogin, PagerDuty, Slack",16,null
GreyNoise,Block scanning IPs with Palo Alto external dynamic list,GreyNoise,6,null
GreyNoise,Receive enriched IP information via Slack,"AbuseIPDB, GreyNoise, Slack, VirusTotal",6,Aaron Sandow
GreyNoise,Remediate PagerDuty alerts,"GreyNoise, PagerDuty",23,null
GreyNoise,Hunt IP addresses in GreyNoise,GreyNoise,11,null
GreyNoise,Check updated CVEs for exploitation using VulnCheck and GreyNoise,"GreyNoise, VulnCheck",11,null
GreyNoise,Check Thinkst Canary alerts in GreyNoise and record in runZero,"GreyNoise, runZero, Thinkst Canary",7,Justin Varner
GreyNoise,"Enrich CVE information using Microsoft, Recorded Future, CIRCL and GreyNoise","GreyNoise, Microsoft, Recorded Future",6,Michael Tolan
GreyNoise,Query GreyNoise for CVEs and update blocklist,GreyNoise,7,null
GreyNoise,Detect and Enrich Sysdig Alerts with Risky User with Greynoise and Deny User from AWS Console Login,"AWS, GreyNoise, Sysdig",11,Manuel Boira
GreyNoise,Enrich WAF Alerts with GreyNoise,GreyNoise,10,null
GreyNoise,"Sysdig Cloud Detection, Document with Jira, and Respond with Tines","AWS, GreyNoise, Jira Software, Kubernetes, Sysdig, Tines",40,Manuel Boira
GreyNoise,Generate GNQL queries from plain text using GreyNoise Labs,GreyNoise,12,Tines
GreyNoise,Investigate security alerts in Workbench from Slack links,"Elastic, GreyNoise, Slack",3,Michael Tolan
OpenAI,Create AI powered tools in Tines,OpenAI,10,null
OpenAI,Analyze suspicious email contents with ChatGPT Vision,OpenAI,5,null
OpenAI,Normalize alerts from multiple sources using ChatGPT,"CrowdStrike, Elastic, Lacework, OpenAI",16,null
OpenAI,Start conversations with ChatGPT in Slack,"OpenAI, Slack",12,null
OpenAI,Analyze open issues in Wiz with ChatGPT,"OpenAI, Wiz",12,null
OpenAI,Fetch recent cybersecurity news and post to LinkedIn,"LinkedIn, OpenAI",6,null
OpenAI,Analyze GitHub pull requests for vulnerabilities with ChatGPT,"GitHub, OpenAI",5,null
OpenAI,Analyze potential SMS phishing attacks and raise incidents in Jira,"OCRSpace, OpenAI, PagerDuty",22,Rajesh Kumar
OpenAI,Retrieve vulnerabilities from SonarCloud and suggest code fixes in GitHub,"GitHub, OpenAI, SonarCloud",13,Conor Dunne
OpenAI,Create Tines story documentation using ChatGPT and store in Notion,OpenAI,10,null
OpenAI,Transform alerts to the OCSF format using ChatGPT and create a case,OpenAI,14,Tines
OpenAI,Use OpenAI to create Tines Actions,"OpenAI, Slack",3,null
OpenAI,Enrich FalconLogScale (Humio) events with ChatGPT,"CrowdStrike, LogScale, OpenAI",3,@ionstorm
OpenAI,Assess potential AWS IAM security vulnerabilities with OpenAI,"AWS, OpenAI",15,null
OpenAI,Generate a yoga flow routine with ChatGPT and Tines Pages,OpenAI,3,null
OpenAI,Create issues using the Elastic Common Schema,"Elastic, OpenAI",11,null
OpenAI,Create an API from an image using ChatGPT,OpenAI,9,null
OpenAI,Manage user access to ChatGPT,OpenAI,94,Conor Dunne
OpenAI,Analyze Bugcrowd submissions with OpenAI and track in Jira,"Jira Software, OpenAI",4,Michael Tolan
OpenAI,Receive alerts from Anecdotes.ai and create a ticket,"Anecdotes.ai, OpenAI",11,null
BambooHR,Interact with case management systems using chat agents,"BambooHR, Jira Software",3,Conor Dunne
BambooHR,Onboard new BambooHR starters using an agent,"BambooHR, Jira Software, Okta, Slack",7,Conor Dunne
BambooHR,Offboard employees using BambooHR,"BambooHR, Google, Okta, Slack",18,null
BambooHR,Add new employees to BambooHR and manage system access,"BambooHR, Google, Microsoft Azure, Okta, Slack",17,Michael Tolan
BambooHR,Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,"BambooHR, Google, Microsoft, Microsoft Teams, Okta",11,null
BambooHR,Run a simulated phishing attack,"BambooHR, GitHub, Tines",22,Conor Dunne
BambooHR,Employee recognition app with BambooHR and Slack,"BambooHR, Slack",20,null
BambooHR,Audit & enforce compliance on endpoints with SimpleMDM,"BambooHR, Google, Slack",49,null
BambooHR,Lookup user in multiple platforms,"BambooHR, Okta, Slack, Tines",11,Michael Tolan
BambooHR,Share reminders for company holidays,"BambooHR, Slack",15,null
BambooHR,Remind employees to take time off with BambooHr & Slack,"BambooHR, Slack",10,null
BambooHR,Automate procure-to-pay requisition and approval,BambooHR,64,Stephen Creedon
BambooHR,Send employee probation reminders to managers using BambooHR,BambooHR,16,null
BambooHR,"Remove a user account in Microsoft Entra ID, BambooHR, AWS, and Slack","AWS, BambooHR, Jira Software, Microsoft Azure, Slack",20,Michael Tolan
BambooHR,Update employee probation status with BambooHR & Slack,"BambooHR, Slack",21,null
BambooHR,Assign New Okta Administrator Role to Okta from BambooHR through Opal,"BambooHR, Jira Software, Okta, Opal",16,null
Recorded Future,Send an IOC to Recorded Future for analysis,Recorded Future,21,Michael Tolan
Recorded Future,Analyze phishing emails with Recorded Future,Recorded Future,36,null
Recorded Future,Detonate files with Recorded Future Sandbox,"Jira Software, Recorded Future",17,null
Recorded Future,Enrich Microsoft security update CVEs with Recorded Future,"Microsoft, Recorded Future",18,Derek Wohlfahrt
Recorded Future,Enrich a list of CVEs using Recorded Future via a form,Recorded Future,17,Derek Wohlfahrt
Recorded Future,Look for & remediate new breaches using Recorded Future,"Jira Software, PagerDuty, Recorded Future",24,null
Recorded Future,Retrieve & enrich IOCs across multiple platforms,"Cybereason, Jira Software, PassiveTotal, Recorded Future, Slack",14,null
Recorded Future,Add known exploited vulnerabilities to Recorded Future,Recorded Future,6,null
Recorded Future,Fetch rule results from Recorded Future Attack Surface Intelligence & open Jira tickets,"Jira Software, Recorded Future, Slack",31,Aaron Sandow
Recorded Future,"Enrich CVE information using Microsoft, Recorded Future, CIRCL and GreyNoise","GreyNoise, Microsoft, Recorded Future",6,Michael Tolan
Recorded Future,Enrich & document Recorded Future alerts,"Jira Software, Recorded Future, Slack",26,null
Recorded Future,Fetch rule results from Recorded Future Attack Surface Intelligence & open ServiceNow tickets,"Recorded Future, ServiceNow, Slack",30,Rosie Halpin
Recorded Future,Create incidents in Anomali Threatstream from Recorded Future alerts,"Anomali ThreatStream, Recorded Future",7,null
Recorded Future,Create Sublime Security rules using Recorded Future threat intel,"Recorded Future, Sublime Security",24,null
Recorded Future,Lookup third-party domain in Recorded Future,"Jira Software, Recorded Future, Slack",20,Aaron Sandow
Recorded Future,Analyze a hash with Recorded Future,Recorded Future,6,Michael Tolan
Sublime Security,"Analyze phishing email senders, URLs, & attachments","EmailRep, Sublime Security, URLScan.io, VirusTotal",51,null
Sublime Security,"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
Sublime Security,Use Analyst1 threat intelligence in Sublime Security,"Analyst1, Sublime Security",39,null
Sublime Security,Receive and analyze emails with rules in Sublime Security,Sublime Security,13,null
Sublime Security,Notify recipient of quarantined email and create Tines case if opened,"Sublime Security, Tines",5,Michael Tolan
Sublime Security,Sublime Security trashing workflow,Sublime Security,17,Andrew Katz
Sublime Security,"Gather & enrich evidence between Analyst1, Sublime Security, and Drata","Analyst1, Drata, Sublime Security",48,null
Sublime Security,Triage phishing alerts with Sublime,"Slack, Sublime Security",16,null
Sublime Security,Create Sublime Security rules using Recorded Future threat intel,"Recorded Future, Sublime Security",24,null
Sublime Security,Notify users of safe email reports in Sublime Security,Sublime Security,3,Aiden Mitchell
Sublime Security,Analyze email attachment hashes from Sublime Security with VirusTotal,"Jira Software, Sublime Security, VirusTotal",33,Michael Tolan
Sublime Security,Scan a file using Sublime Security,Sublime Security,10,Josh Liburdi
Sublime Security,Create custom Gmail filters from Sublime Security findings,"Gmail, Google, Sublime Security",14,Conor Dunne
Sublime Security,Integrate Anomali Threat Intelligence with Sublime Security's email detection signatures,"Anomali ThreatStream, Sublime Security",39,Dan Le
Sublime Security,Update entry in a list in Sublime Security,Sublime Security,6,Michael Tolan
Sublime Security,Get list information in Sublime Security,Sublime Security,6,Michael Tolan
ServiceNow,Check CrowdStrike agent is installed on new devices provisioned,"CrowdStrike, Qualys, ServiceNow, Slack",18,Shaun Finn
ServiceNow,Build ServiceNow API requests in Tines,ServiceNow,20,Conor Dunne
ServiceNow,Create unique ServiceNow tickets from Splunk alerts,"ServiceNow, Splunk",19,null
ServiceNow,Deactivate stale AWS access keys discovered by Wiz,"AWS, ServiceNow, Slack, Wiz",17,Derek Wohlfahrt
ServiceNow,Close CrowdStrike detections when ServiceNow incidents are resolved,"CrowdStrike, ServiceNow",4,Conor Dunne
ServiceNow,Create Terraform Infrastructure as Code,"GitHub, HashiCorp, HashiCorp Terraform, ServiceNow, Slack",16,null
ServiceNow,Analyze quality of tickets in ServiceNow,ServiceNow,10,Michael Tolan
ServiceNow,Manage AWS Inspector findings with ServiceNow,"AWS, ServiceNow",11,null
ServiceNow,Create a ServiceNow incident from Slack,"ServiceNow, Slack",7,Conor Dunne
ServiceNow,Read unread emails & analyze any URLs mentioned,"Microsoft, ServiceNow, URLScan.io",22,Shaun Finn
ServiceNow,Process new ServiceNow incidents,"ServiceNow, Slack",3,null
ServiceNow,Fetch rule results from Recorded Future Attack Surface Intelligence & open ServiceNow tickets,"Recorded Future, ServiceNow, Slack",30,Rosie Halpin
ServiceNow,Create ServiceNow incidents from SpyCloud alerts,"ServiceNow, SpyCloud",24,SpyCloud
ServiceNow,Create and manage an Email API through Tines,"Google, ServiceNow, Tines",33,null
ServiceNow,Log Tines action failures and create issues to track,"Jira Software, ServiceNow",8,Michael Tolan
Splunk,Run provided searches in Splunk,Splunk,12,null
Splunk,Analyze Anvilogic events of interest,"Anvilogic, Splunk",27,Chris Burkhart
Splunk,Ingest Tines audit logs into Splunk,Splunk,9,null
Splunk,Search & update notable status in Splunk Enterprise Security,Splunk,11,Tines
Splunk,Create unique ServiceNow tickets from Splunk alerts,"ServiceNow, Splunk",19,null
Splunk,Search and Update Splunk Notable with VirusTotal Enrichment with case management and Microsoft Teams notification,"Microsoft Teams, Splunk, VirusTotal",18,null
Splunk,Gather & add correlated searches in Splunk Enterprise Security to Drata,"Drata, Splunk",14,null
Splunk,Search Splunk Enterprise logs,Splunk,13,Conor Dunne
Splunk,Sensitive files shared to personal email,"Jira Software, Slack, Splunk",26,Brandon Buhrs
Splunk,Build and send a weekly metric review,"Google Sheets, Splunk",29,Joe Frederick
Splunk,Query Shodan for findings and alert on them using Slack and Jira,"Jira Software, Shodan, Slack, Splunk",11,null
Splunk,Export Splunk SOAR cases to Tines,"Splunk, Tines",26,null
Splunk,Fetch issues and evidence from Noname Security and process in Splunk,Splunk,10,null
Splunk,SIGMA converter for YAML,"Microsoft, Splunk",10,Nathan Collings
Splunk,Gather correlated Splunk searches and add to Anvilogic use cases,"Anvilogic, Splunk",10,null
AbuseIPDB,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
AbuseIPDB,Analyze an IP in many services at once,"AbuseIPDB, APIVoid, GreyNoise, Jira Software, Pulsedive, VirusTotal",13,Michael Tolan
AbuseIPDB,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
AbuseIPDB,"Ingest, analyze and store IOCs with Tines","AbuseIPDB, CrowdStrike, GreyNoise, Pulsedive, Sublime Security, Tines, URLScan.io, VirusTotal",45,Michael Tolan
AbuseIPDB,Enrich & remediate suspicious logins reported in Okta,"AbuseIPDB, Okta, Slack, VirusTotal",14,Derek Wohlfahrt
AbuseIPDB,Check IP addresses in Panther & send results via Slack,"AbuseIPDB, Panther, Slack",20,Eoin Magner
AbuseIPDB,Receive enriched IP information via Slack,"AbuseIPDB, GreyNoise, Slack, VirusTotal",6,Aaron Sandow
AbuseIPDB,Enrich clicked URLs from Proofpoint and block with Zscaler,"AbuseIPDB, Jira Software, Proofpoint, URLScan.io, Zscaler",13,Michael Tolan
AbuseIPDB,"Investigate a URL with URLScan, create a ticket in Jira and take action","AbuseIPDB, CrowdStrike, Jira Software, NextDNS, Phish Report, URLScan.io",41,null
AbuseIPDB,"Ingest, enrich, and remediate ExtraHop alerts and block suspicious URLs with Zscaler","AbuseIPDB, Extrahop, Microsoft Teams, URLScan.io, VirusTotal, Zscaler",15,null
AbuseIPDB,Enrich Canarytoken alerts and notify the security team,"AbuseIPDB, Thinkst Canary",12,Dennis Chow
AbuseIPDB,Isolate machines based on malicious Cybereason Malops and track in JIRA,"AbuseIPDB, Cybereason, Jira Software",21,null
AbuseIPDB,Enrich IPs recorded in Airtable,"AbuseIPDB, Airtable, Criminal IP",14,Michael Tolan
Notion,Analyze Astrix alerts with AI and post to Notion,"Astrix, Notion",6,Alon Berger
Notion,Implement pagination with these techniques,"Jira Software, Notion, Slack, Tenable Vulnerability Management",32,null
Notion,Identify false positive alerts from Elastic using a database in Notion,"Elastic, Notion",11,Michael Tolan
